Timestamp;byte_s;Seq;Cmd;hurtType;armorType
6406080;177;242;8;0;0
6407078;129;0;0;0;0
6408090;225;0;0;0;0
6409078;222;0;0;0;0
6410079;0;244;8;0;0
6411080;84;244;8;0;0
6412078;0;244;0;0;0
6413080;147;0;0;0;0
6414078;147;0;0;0;0
6415080;147;0;0;0;0
6416078;147;0;0;0;0
6417075;147;0;0;0;0
6418080;147;0;0;0;0
6419091;147;0;0;0;0
6420078;147;0;0;0;0
6421079;147;0;0;0;0
6422079;147;0;0;0;0
6423078;147;0;0;0;0
6424075;147;0;0;0;0
6425079;147;0;0;0;0
6426079;147;0;0;0;0
6427078;190;246;4;0;0
6428076;225;246;4;0;0
6429079;226;246;0;0;0
6430090;0;0;0;0;0
6431078;84;0;0;0;0
6432080;247;0;0;0;0
6433079;247;0;0;0;0
6434078;247;0;0;0;0
6435079;247;0;0;0;0
6436077;247;0;0;0;0
6437079;247;0;0;0;0
6438078;247;0;0;0;0
6439080;247;0;0;0;0
6440078;247;0;0;0;0
6441089;247;0;0;0;0
6442078;247;0;0;0;0
6443079;247;0;0;0;0
6444080;247;0;0;0;0
6445078;247;0;0;0;0
6446080;247;0;0;0;0
6447078;161;248;4;0;0
6448075;225;248;4;0;0
6449079;49;248;0;0;0
6450080;0;0;0;0;0
6451077;84;0;0;0;0
6452092;200;0;0;0;0
6453078;200;0;0;0;0
6454079;200;0;0;0;0
6455080;200;0;0;0;0
6456078;200;0;0;0;0
6457080;200;0;0;0;0
6458078;200;0;0;0;0
6459080;200;0;0;0;0
6460078;200;0;0;0;0
6461080;200;0;0;0;0
6462078;200;0;0;0;0
6463091;200;0;0;0;0
6464078;200;0;0;0;0
6465079;200;0;0;0;0
6466080;200;0;0;0;0
6467077;29;250;4;0;0
6468075;225;250;4;0;0
6469079;143;250;0;0;0
6470080;0;0;0;0;0
6471078;193;0;0;0;0
6472080;230;0;0;0;0
6473093;230;0;0;0;0
6474078;230;0;0;0;0
6475079;230;0;0;0;0
6476080;230;0;0;0;0
6477078;230;0;0;0;0
6478075;230;0;0;0;0
6479079;230;0;0;0;0
6480080;230;0;0;0;0
6481078;230;0;0;0;0
6482075;230;0;0;0;0
6483079;230;0;0;0;0
6484093;230;0;0;0;0
6485078;230;0;0;0;0
6486079;230;0;0;0;0
6487079;192;252;4;0;0
6488079;61;252;4;0;0
6489075;40;252;4;0;0
6490079;0;0;0;0;0
6491079;193;0;0;0;0
6492078;61;0;0;0;0
6493075;61;0;0;0;0
6494079;61;0;0;0;0
6495092;61;0;0;0;0
6496078;61;0;0;0;0
6497080;61;0;0;0;0
6498080;61;0;0;0;0
6499078;61;0;0;0;0
6500075;61;0;0;0;0
6501078;61;0;0;0;0
6502079;61;0;0;0;0
6503077;61;0;0;0;0
6504080;61;0;0;0;0
6505078;61;0;0;0;0
6506092;61;0;0;0;0
6507078;124;254;4;0;0
6508080;223;254;4;0;0
6509079;84;254;0;0;0
6510079;0;0;0;0;0
6511080;20;0;0;0;0
6512077;0;0;1;0;0
6513080;91;0;1;0;0
6514078;91;0;1;0;0
6515080;91;0;1;0;0
6516078;91;0;1;0;0
6517089;91;0;1;0;0
6518078;91;0;1;0;0
6519079;91;0;1;0;0
6520080;91;0;1;0;0
6521078;91;0;1;0;0
6522080;91;0;1;0;0
6523078;91;0;1;0;0
6524080;91;0;1;0;0
6525078;91;0;1;0;0
6526080;91;0;1;0;0
6527092;4;0;0;0;0
6528078;223;0;0;0;0
6529079;6;0;0;0;0
6530080;0;2;8;0;0
6531078;20;2;8;0;0
6532080;9;2;8;0;0
6533078;9;2;8;0;0
6534080;9;2;8;0;0
6535078;9;2;8;0;0
6536080;9;2;8;0;0
6537078;9;2;8;0;0
6538089;9;2;8;0;0
6539080;9;2;8;0;0
6540078;9;2;8;0;0
6541080;9;2;8;0;0
6542077;9;2;8;0;0
6543080;9;2;8;0;0
6544078;9;2;8;0;0
6545080;9;2;8;0;0
6546077;9;2;8;0;0
6547080;245;0;0;0;0
6548079;223;0;0;0;0
6549092;96;0;0;0;0
6550078;0;4;8;0;0
6551080;20;4;8;0;0
